date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:38	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2020%20Aug%202023%2004:46:39%20GMT	https://bluzelle.com/robots.txt		(from )
10:16:39	55787/55787	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Aug%202023%2004:46:39%20GMT	https://bluzelle.com/	F:website/My%20project/bluzelle.com/index.html	(from )
10:16:39	89843/89843	---M-Z	200	added ('OK')	text/css	etag:%225caae406edf52bfb0ce3a286d19c9d60%22	https://uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/css/bluzelle.webflow.6202fdbd9.css	F:website/My%20project/uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/css/bluzelle.webflow.6202fdbd9.css	(from https://bluzelle.com/)
10:16:39	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	F:website/My%20project/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://bluzelle.com/)
10:16:40	13945/13945	---M--	200	added ('OK')	image/jpeg	etag:%22942cb190125a784b917d21fc4db3ccd4%22	https://uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/647fb9732845f8e42b2b270d_fav.jpg	F:website/My%20project/uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/647fb9732845f8e42b2b270d_fav.jpg	(from https://bluzelle.com/)
10:16:40	44924/44924	---M--	200	added ('OK')	image/jpeg	etag:%22ca79a0ffd9d420661c8de36252a55fdb%22	https://uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/647fb9703b323d51d84a41e2_webfclip.jpg	F:website/My%20project/uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/647fb9703b323d51d84a41e2_webfclip.jpg	(from https://bluzelle.com/)
10:16:40	26811/26811	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Aug%202023%2004:46:41%20GMT	https://bluzelle.com/about-us	F:website/My%20project/bluzelle.com/about-us.html	(from https://bluzelle.com/)
10:16:41	31267/31267	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Aug%202023%2004:46:42%20GMT	https://bluzelle.com/storage	F:website/My%20project/bluzelle.com/storage.html	(from https://bluzelle.com/)
10:16:42	34309/34309	---M-Z	200	added ('OK')	text/html	date:Sun,%2020%20Aug%202023%2004:46:42%20GMT	https://bluzelle.com/token	F:website/My%20project/bluzelle.com/token.html	(from https://bluzelle.com/)
10:16:42	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2020%20Aug%202023%2004:46:43%20GMT	https://bluzelle.com/%22https://uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/646ac561dfe23930835897a6_videoplayback-poster-00001.jpg%22	F:website/My%20project/bluzelle.com/_https_/uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/646ac561dfe23930835897a6_videoplayback-poster-00001.jpg_	(from https://bluzelle.com/)
10:16:43	33388/33388	---M--	200	added ('OK')	image/png	etag:%227d2507d895e362dead16c09b17eadbda%22	https://uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/6477e4a05e6a432b96d2020a_nanc.png	F:website/My%20project/uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/6477e4a05e6a432b96d2020a_nanc.png	(from https://bluzelle.com/)
10:16:44	54153/54153	---M--	200	added ('OK')	image/png	etag:%22a58724312c02388fd308238b68e621fb%22	https://uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/6477e4a851f80b0cd8dc71ad_base.png	F:website/My%20project/uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/6477e4a851f80b0cd8dc71ad_base.png	(from https://bluzelle.com/)
10:16:44	41124/41124	---M--	200	added ('OK')	image/png	etag:%22b3c0787fcf435787745b74ab25717588%22	https://uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/6477e4dae6ce7d4683f275c7_ku.png	F:website/My%20project/uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/6477e4dae6ce7d4683f275c7_ku.png	(from https://bluzelle.com/)
10:16:44	78540/78540	---M--	200	added ('OK')	image/png	etag:%22fd0a7dda9f495c2f67c474de4c0c0094%22	https://uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/6477e4b0d4a7dba0fe3ca6cd_aken.png	F:website/My%20project/uploads-ssl.webflow.com/6432e97a545aff0f84ed68ad/6477e4b0d4a7dba0fe3ca6cd_aken.png	(from https://bluzelle.com/)
